code,denominacion,latitude,longitude,eclipse_visibility
IB200,"Valdeté, Perosancio y Tajugueras",42.130958,-2.159723,not_visible
IB200a,N/A,N/A,N/A,no_coordinates
IB200b,La Magdalena,42.124479,-2.187944,not_visible
IB200c,Los Cayos A,42.084398,-2.088449,not_visible
IB200d,Los Cayos B,42.083378,-2.085237,not_visible
IB200e,Los Cayos C,42.083306,-2.084852,not_visible
IB200f,Los Cayos S,42.081150,-2.091261,not_visible
IB200g,Valdemayor,42.199732,-2.528254,not_visible
IB200h,Virgen del Prado,41.963535,-1.966703,visible
IB200i,Valdecevillo,42.135837,-2.256116,not_visible
IB200j,Virgen del Campo,42.143737,-2.271836,not_visible
IB200k,El Villar-Poyales,42.125790,-2.230414,not_visible
IB200l,Peñaportillo,42.194942,-2.285160,visible
IB200m,La Canal,42.195464,-2.283743,not_visible
IB200n,"Soto en Cameros 1, 2 y 3",42.297744,-2.414614,not_visible
IB200o,la Era del Peladillo,42.083328,-2.043049,not_visible
IB200p,Las Navillas,42.067068,-1.941051,visible
IB200q,La Torre,42.075845,-2.040422,not_visible
IB200r,Valdebrajes,42.073576,-1.973726,not_visible
IB200s,Las Losas,42.153846,-2.279108,not_visible
IB200t,La Senoba,42.130706,-2.267609,visible
IB200u,Navalsaz,42.120794,-2.208504,visible
IB200v,La Pellejera,42.218676,-2.453835,visible
IB200w,N/A,N/A,N/A,no_coordinates
IB200x,N/A,N/A,N/A,no_coordinates
IB200y,N/A,N/A,N/A,no_coordinates
IB200z,N/A,N/A,N/A,no_coordinates
IB034,Fuente Lacorte-El Frontal,42.062050,-2.390883,not_visible
IB034a,N/A,N/A,N/A,no_coordinates
IB034b,La Peña /El Corral de la Peña / Matecasa,42.060900,-2.387136,not_visible
IB034c,Los Tormos,42.061857,-2.454492,not_visible
IB034d,San Roque,42.012898,-2.264032,visible
IB034e,El Salgar de Silas,41.984620,-2.353893,visible
IB034f,Fuentesalvo,42.052380,-2.340318,visible
IB034g,Miraflores I,41.929020,-2.179579,visible
IB034h,Serrantes,42.067290,-2.367544,not_visible
IB034i,Valdegén,42.063583,-2.349613,not_visible
IB034j,Valles de Valdelalosa,41.969953,-2.214522,not_visible
IB034k,N/A,N/A,N/A,no_coordinates
IB034l,N/A,N/A,N/A,no_coordinates
IB034m,N/A,N/A,N/A,no_coordinates
IB034n,N/A,N/A,N/A,no_coordinates
IB034o,N/A,N/A,N/A,no_coordinates
IB034p,N/A,N/A,N/A,no_coordinates
IB034q,N/A,N/A,N/A,no_coordinates
IB034r,N/A,N/A,N/A,no_coordinates
IB034s,N/A,N/A,N/A,no_coordinates
IB034t,N/A,N/A,N/A,no_coordinates
IB034u,N/A,N/A,N/A,no_coordinates
IB034v,N/A,N/A,N/A,no_coordinates
IB034w,N/A,N/A,N/A,no_coordinates
IB034x,N/A,N/A,N/A,no_coordinates
IB034y,N/A,N/A,N/A,no_coordinates
IB034z,N/A,N/A,N/A,no_coordinates
